Intent,utterance,expected_answer,source_policy_url,confidence
risk_query,What is the overall disaster risk for Alampura?,"Village Alampura (code: 521212) has a composite risk profile based on flood hazard, soil erosion, cloudburst, and landslide susceptibility layers. Population at risk: 639. SC/ST share: 59.5%. Our model recommends prioritising this village for early-warning infrastructure.",https://ndma.gov.in/,0.9
population_affected,How many people are at risk in Alampura?,The total population of Alampura is 639. A major flood event would directly affect approximately 383 individuals. Confidence: 0.88,https://ndma.gov.in/,0.88
relocation_query,Should Alampura be considered for relocation planning?,Alampura shows elevated composite risk based on GIS analysis. Flood hazard and landslide susceptibility layers indicate this village may benefit from long-term relocation planning. Refer to DDMP policy: https://ndma.gov.in/.,https://ndma.gov.in/,0.85
risk_query,What is the overall disaster risk for Ranapur?,"Village Ranapur (code: 521189) has a composite risk profile based on flood hazard, soil erosion, cloudburst, and landslide susceptibility layers. Population at risk: 1166. SC/ST share: 26.1%. Our model recommends prioritising this village for early-warning infrastructure.",https://ndma.gov.in/,0.9
population_affected,How many people are at risk in Ranapur?,The total population of Ranapur is 1166. A major flood event would directly affect approximately 699 individuals. Confidence: 0.88,https://ndma.gov.in/,0.88
relocation_query,Should Ranapur be considered for relocation planning?,Ranapur shows elevated composite risk based on GIS analysis. Flood hazard and landslide susceptibility layers indicate this village may benefit from long-term relocation planning. Refer to DDMP policy: https://ndma.gov.in/.,https://ndma.gov.in/,0.85
risk_query,What is the overall disaster risk for Latipur Timbi?,"Village Latipur Timbi (code: 521185) has a composite risk profile based on flood hazard, soil erosion, cloudburst, and landslide susceptibility layers. Population at risk: 908. SC/ST share: 12.7%. Our model recommends prioritising this village for early-warning infrastructure.",https://ndma.gov.in/,0.9
population_affected,How many people are at risk in Latipur Timbi?,The total population of Latipur Timbi is 908. A major flood event would directly affect approximately 544 individuals. Confidence: 0.88,https://ndma.gov.in/,0.88
relocation_query,Should Latipur Timbi be considered for relocation planning?,Latipur Timbi shows elevated composite risk based on GIS analysis. Flood hazard and landslide susceptibility layers indicate this village may benefit from long-term relocation planning. Refer to DDMP policy: https://ndma.gov.in/.,https://ndma.gov.in/,0.85
risk_query,What is the overall disaster risk for Surajghoda?,"Village Surajghoda (code: 521005) has a composite risk profile based on flood hazard, soil erosion, cloudburst, and landslide susceptibility layers. Population at risk: 77. SC/ST share: 23.4%. Our model recommends prioritising this village for early-warning infrastructure.",https://ndma.gov.in/,0.9
population_affected,How many people are at risk in Surajghoda?,The total population of Surajghoda is 77. A major flood event would directly affect approximately 46 individuals. Confidence: 0.88,https://ndma.gov.in/,0.88
relocation_query,Should Surajghoda be considered for relocation planning?,Surajghoda shows elevated composite risk based on GIS analysis. Flood hazard and landslide susceptibility layers indicate this village may benefit from long-term relocation planning. Refer to DDMP policy: https://ndma.gov.in/.,https://ndma.gov.in/,0.85
risk_query,What is the overall disaster risk for Kanabha?,"Village Kanabha (code: 521135) has a composite risk profile based on flood hazard, soil erosion, cloudburst, and landslide susceptibility layers. Population at risk: 1574. SC/ST share: 10.4%. Our model recommends prioritising this village for early-warning infrastructure.",https://ndma.gov.in/,0.9
population_affected,How many people are at risk in Kanabha?,The total population of Kanabha is 1574. A major flood event would directly affect approximately 944 individuals. Confidence: 0.88,https://ndma.gov.in/,0.88
relocation_query,Should Kanabha be considered for relocation planning?,Kanabha shows elevated composite risk based on GIS analysis. Flood hazard and landslide susceptibility layers indicate this village may benefit from long-term relocation planning. Refer to DDMP policy: https://ndma.gov.in/.,https://ndma.gov.in/,0.85
risk_query,What is the overall disaster risk for Karamadi?,"Village Karamadi (code: 521141) has a composite risk profile based on flood hazard, soil erosion, cloudburst, and landslide susceptibility layers. Population at risk: 1763. SC/ST share: 57.0%. Our model recommends prioritising this village for early-warning infrastructure.",https://ndma.gov.in/,0.9
population_affected,How many people are at risk in Karamadi?,The total population of Karamadi is 1763. A major flood event would directly affect approximately 1057 individuals. Confidence: 0.88,https://ndma.gov.in/,0.88
relocation_query,Should Karamadi be considered for relocation planning?,Karamadi shows elevated composite risk based on GIS analysis. Flood hazard and landslide susceptibility layers indicate this village may benefit from long-term relocation planning. Refer to DDMP policy: https://ndma.gov.in/.,https://ndma.gov.in/,0.85
risk_query,What is the overall disaster risk for Vaniyad?,"Village Vaniyad (code: 521220) has a composite risk profile based on flood hazard, soil erosion, cloudburst, and landslide susceptibility layers. Population at risk: 851. SC/ST share: 49.0%. Our model recommends prioritising this village for early-warning infrastructure.",https://ndma.gov.in/,0.9
population_affected,How many people are at risk in Vaniyad?,The total population of Vaniyad is 851. A major flood event would directly affect approximately 510 individuals. Confidence: 0.88,https://ndma.gov.in/,0.88
relocation_query,Should Vaniyad be considered for relocation planning?,Vaniyad shows elevated composite risk based on GIS analysis. Flood hazard and landslide susceptibility layers indicate this village may benefit from long-term relocation planning. Refer to DDMP policy: https://ndma.gov.in/.,https://ndma.gov.in/,0.85
risk_query,What is the overall disaster risk for Lilod?,"Village Lilod (code: 521206) has a composite risk profile based on flood hazard, soil erosion, cloudburst, and landslide susceptibility layers. Population at risk: 1223. SC/ST share: 28.4%. Our model recommends prioritising this village for early-warning infrastructure.",https://ndma.gov.in/,0.9
population_affected,How many people are at risk in Lilod?,The total population of Lilod is 1223. A major flood event would directly affect approximately 733 individuals. Confidence: 0.88,https://ndma.gov.in/,0.88
relocation_query,Should Lilod be considered for relocation planning?,Lilod shows elevated composite risk based on GIS analysis. Flood hazard and landslide susceptibility layers indicate this village may benefit from long-term relocation planning. Refer to DDMP policy: https://ndma.gov.in/.,https://ndma.gov.in/,0.85
risk_query,What is the overall disaster risk for Bhadara?,"Village Bhadara (code: 521097) has a composite risk profile based on flood hazard, soil erosion, cloudburst, and landslide susceptibility layers. Population at risk: 730. SC/ST share: 9.0%. Our model recommends prioritising this village for early-warning infrastructure.",https://ndma.gov.in/,0.9
population_affected,How many people are at risk in Bhadara?,The total population of Bhadara is 730. A major flood event would directly affect approximately 438 individuals. Confidence: 0.88,https://ndma.gov.in/,0.88
relocation_query,Should Bhadara be considered for relocation planning?,Bhadara shows elevated composite risk based on GIS analysis. Flood hazard and landslide susceptibility layers indicate this village may benefit from long-term relocation planning. Refer to DDMP policy: https://ndma.gov.in/.,https://ndma.gov.in/,0.85
risk_query,What is the overall disaster risk for Rabhipura?,"Village Rabhipura (code: 519880) has a composite risk profile based on flood hazard, soil erosion, cloudburst, and landslide susceptibility layers. Population at risk: 619. SC/ST share: 9.4%. Our model recommends prioritising this village for early-warning infrastructure.",https://ndma.gov.in/,0.9
population_affected,How many people are at risk in Rabhipura?,The total population of Rabhipura is 619. A major flood event would directly affect approximately 371 individuals. Confidence: 0.88,https://ndma.gov.in/,0.88
relocation_query,Should Rabhipura be considered for relocation planning?,Rabhipura shows elevated composite risk based on GIS analysis. Flood hazard and landslide susceptibility layers indicate this village may benefit from long-term relocation planning. Refer to DDMP policy: https://ndma.gov.in/.,https://ndma.gov.in/,0.85
risk_query,What is the overall disaster risk for Meghakui?,"Village Meghakui (code: 519890) has a composite risk profile based on flood hazard, soil erosion, cloudburst, and landslide susceptibility layers. Population at risk: 1208. SC/ST share: 26.9%. Our model recommends prioritising this village for early-warning infrastructure.",https://ndma.gov.in/,0.9
population_affected,How many people are at risk in Meghakui?,The total population of Meghakui is 1208. A major flood event would directly affect approximately 724 individuals. Confidence: 0.88,https://ndma.gov.in/,0.88
relocation_query,Should Meghakui be considered for relocation planning?,Meghakui shows elevated composite risk based on GIS analysis. Flood hazard and landslide susceptibility layers indicate this village may benefit from long-term relocation planning. Refer to DDMP policy: https://ndma.gov.in/.,https://ndma.gov.in/,0.85
risk_query,What is the overall disaster risk for Talsat?,"Village Talsat (code: 519858) has a composite risk profile based on flood hazard, soil erosion, cloudburst, and landslide susceptibility layers. Population at risk: 1124. SC/ST share: 7.7%. Our model recommends prioritising this village for early-warning infrastructure.",https://ndma.gov.in/,0.9
population_affected,How many people are at risk in Talsat?,The total population of Talsat is 1124. A major flood event would directly affect approximately 674 individuals. Confidence: 0.88,https://ndma.gov.in/,0.88
relocation_query,Should Talsat be considered for relocation planning?,Talsat shows elevated composite risk based on GIS analysis. Flood hazard and landslide susceptibility layers indicate this village may benefit from long-term relocation planning. Refer to DDMP policy: https://ndma.gov.in/.,https://ndma.gov.in/,0.85
risk_query,What is the overall disaster risk for Sisva?,"Village Sisva (code: 519835) has a composite risk profile based on flood hazard, soil erosion, cloudburst, and landslide susceptibility layers. Population at risk: 2799. SC/ST share: 12.0%. Our model recommends prioritising this village for early-warning infrastructure.",https://ndma.gov.in/,0.9
population_affected,How many people are at risk in Sisva?,The total population of Sisva is 2799. A major flood event would directly affect approximately 1679 individuals. Confidence: 0.88,https://ndma.gov.in/,0.88
relocation_query,Should Sisva be considered for relocation planning?,Sisva shows elevated composite risk based on GIS analysis. Flood hazard and landslide susceptibility layers indicate this village may benefit from long-term relocation planning. Refer to DDMP policy: https://ndma.gov.in/.,https://ndma.gov.in/,0.85
risk_query,What is the overall disaster risk for Vadsala?,"Village Vadsala (code: 519884) has a composite risk profile based on flood hazard, soil erosion, cloudburst, and landslide susceptibility layers. Population at risk: 3156. SC/ST share: 36.7%. Our model recommends prioritising this village for early-warning infrastructure.",https://ndma.gov.in/,0.9
population_affected,How many people are at risk in Vadsala?,The total population of Vadsala is 3156. A major flood event would directly affect approximately 1893 individuals. Confidence: 0.88,https://ndma.gov.in/,0.88
